chain_id,scenario_id,scenario_name,inspection_type,primary_score_item_id,secondary_score_item_ids,risk_or_hidden_danger_point,problem_statement_template,rectification_template,report_section_hint,evidence_chain,photo_points,answer_policy,default_severity,default_deduct_policy,deduct_runtime_binding,runtime_status,final_state,runtime_integration,approval_status,approval_source,approved_baseline_version
CHAIN::SCN_CHEMICAL_TANK_LDAR_SEEPAGE::FIRST,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,FIRST,S04,S10;S13;S02;S06,储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,现场核查发现【液态化学品储罐、LDAR与防渗风险】存在风险：储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,请依据环评、批复、许可、台账和现场事实补齐证据链：储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S13 环保应急管理情况;S02 环保台账规范情况;S06 环保治理设施运行情况,储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,罐区全景和物料标识；围堰、防渗地面和雨水切换阀；泵阀法兰密封点；装卸区截流/收集设施；LDAR记录或检测设备读数,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_CHEMICAL_TANK_LDAR_SEEPAGE::MONTHLY,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,MONTHLY,S04,S10;S13;S02;S06,储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,现场核查发现【液态化学品储罐、LDAR与防渗风险】存在风险：储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,请依据环评、批复、许可、台账和现场事实补齐证据链：储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S13 环保应急管理情况;S02 环保台账规范情况;S06 环保治理设施运行情况,储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,罐区全景和物料标识；围堰、防渗地面和雨水切换阀；泵阀法兰密封点；装卸区截流/收集设施；LDAR记录或检测设备读数,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_GAS_STATION_VAPOR_UST::FIRST,SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,FIRST,S06,S04;S10;S02,油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,现场核查发现【加油站油气回收、地下储罐与土壤地下水风险】存在风险：油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,请依据环评、批复、许可、台账和现场事实补齐证据链：油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,S06 环保治理设施运行情况;S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况,油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,卸油口和油气回收接口；加油枪和油气回收管路；地下储罐人孔井/检测井；防渗或泄漏监测装置；油气回收检测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_GAS_STATION_VAPOR_UST::MONTHLY,SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,MONTHLY,S06,S04;S10;S02,油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,现场核查发现【加油站油气回收、地下储罐与土壤地下水风险】存在风险：油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,请依据环评、批复、许可、台账和现场事实补齐证据链：油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,S06 环保治理设施运行情况;S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况,油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,卸油口和油气回收接口；加油枪和油气回收管路；地下储罐人孔井/检测井；防渗或泄漏监测装置；油气回收检测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_DUST_PARTICULATE_CONTROL::FIRST,SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,FIRST,S10,S06;S04;S03,粉尘无组织排放；除尘设施失效；料场/装卸扬尘,现场核查发现【粉尘颗粒物产生与除尘设施】存在风险：粉尘无组织排放；除尘设施失效；料场/装卸扬尘,请依据环评、批复、许可、台账和现场事实补齐证据链：工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S03 环保相关系统完成情况,工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,破碎/粉磨/筛分点位；输送转运和落料点；袋式除尘器全景和铭牌；堆场围挡/喷淋/苫盖；在线监测设备或颗粒物排口,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_DUST_PARTICULATE_CONTROL::MONTHLY,SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,MONTHLY,S10,S06;S04;S03,粉尘无组织排放；除尘设施失效；料场/装卸扬尘,现场核查发现【粉尘颗粒物产生与除尘设施】存在风险：粉尘无组织排放；除尘设施失效；料场/装卸扬尘,请依据环评、批复、许可、台账和现场事实补齐证据链：工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S03 环保相关系统完成情况,工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,破碎/粉磨/筛分点位；输送转运和落料点；袋式除尘器全景和铭牌；堆场围挡/喷淋/苫盖；在线监测设备或颗粒物排口,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_ONLINE_MONITORING_KEY_UNIT::FIRST,SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,FIRST,S03,S02;S10,在线监测未联网；运维记录缺失；数据异常未闭环,现场核查发现【重点管理/重点排污单位在线监测】存在风险：在线监测未联网；运维记录缺失；数据异常未闭环,请依据环评、批复、许可、台账和现场事实补齐证据链：重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,S03 环保相关系统完成情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,在线站房外观；分析仪和采样管线；数采仪联网状态；视频监控设备；运维/校准/比对记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_ONLINE_MONITORING_KEY_UNIT::MONTHLY,SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,MONTHLY,S03,S02;S10,在线监测未联网；运维记录缺失；数据异常未闭环,现场核查发现【重点管理/重点排污单位在线监测】存在风险：在线监测未联网；运维记录缺失；数据异常未闭环,请依据环评、批复、许可、台账和现场事实补齐证据链：重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,S03 环保相关系统完成情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,在线站房外观；分析仪和采样管线；数采仪联网状态；视频监控设备；运维/校准/比对记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAINWATER_ACCIDENT_EMERGENCY::FIRST,SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,FIRST,S13,S10;S06;S04;S02,雨污混接；事故水收集不足；应急物资/演练缺失,现场核查发现【雨污分流、事故水与环境应急】存在风险：雨污混接；事故水收集不足；应急物资/演练缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,S13 环保应急管理情况;S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S02 环保台账规范情况,厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,雨水口和污水口标识；雨污切换阀/事故阀阀位；事故池或应急收集设施；应急物资柜内外观；应急预案/演练/事故记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAINWATER_ACCIDENT_EMERGENCY::MONTHLY,SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,MONTHLY,S13,S10;S06;S04;S02,雨污混接；事故水收集不足；应急物资/演练缺失,现场核查发现【雨污分流、事故水与环境应急】存在风险：雨污混接；事故水收集不足；应急物资/演练缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,S13 环保应急管理情况;S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S02 环保台账规范情况,厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,雨水口和污水口标识；雨污切换阀/事故阀阀位；事故池或应急收集设施；应急物资柜内外观；应急预案/演练/事故记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_TRAINING_SIGNAGE_REVIEW_GAP::FIRST,SCN_TRAINING_SIGNAGE_REVIEW_GAP,环保培训、标识公示与历史问题闭环补强,FIRST,S08,S09;S11;S13,培训缺失；标识公示不足；整改闭环证据不足,现场核查发现【环保培训、标识公示与历史问题闭环补强】存在风险：培训缺失；标识公示不足；整改闭环证据不足,请依据环评、批复、许可、台账和现场事实补齐证据链：培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,S08 环保培训情况;S09 标识、标牌、制度公示情况;S11 历史遗留问题整改情况;S13 环保应急管理情况,培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,培训签到和现场照片；危废/排口/辐射/应急制度标牌；整改前后对比照片；复发防控措施现场照片,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
