catalog_version,entry_no,target_management_condition,major_category_text,industry_category_text,gb_code_fragments,source_basis,source_pdf,source_page,source_row_index,source_table_bbox,source_row_cells_bbox,source_cell_name,raw_condition,normalized_condition,applies_status,confidence,blocking_flags,confirmation_questions,permit_type,runtime_status,negative_semantic_markers,condition_polarity,predicate_operator_summary
2019,4,SIMPLIFIED,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,7,"[46.56, 85.29, 794.78, 477.32]","[[441.25, 126.48999786376953, 618.1500244140625, 171.44000244140625], [441.25, 171.44000244140625, 618.1500244140625, 191.7899932861328], [441.25, 214.99000549316406, 618.1500244140625, 242.74000549316406], [441.25, 265.94000244140625, 618.1500244140625, 286.2900085449219], [441.25, 309.489990234375, 618.1500244140625, 337.19000244140625]]",simplified_management_condition,涉及通用工序简化管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,4,REGISTRATION,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,7,"[46.56, 85.29, 794.78, 477.32]","[[441.25, 126.48999786376953, 618.1500244140625, 171.44000244140625], [441.25, 171.44000244140625, 618.1500244140625, 191.7899932861328], [441.25, 214.99000549316406, 618.1500244140625, 242.74000549316406], [441.25, 265.94000244140625, 618.1500244140625, 286.2900085449219], [441.25, 309.489990234375, 618.1500244140625, 337.19000244140625]]",registration_management_condition,其他,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]",ELSE_CONDITION,MEDIUM,"[""else_condition_requires_peer_condition_exclusion""]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,5,KEY,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,9,"[46.56, 85.29, 794.78, 477.32]","[[618.1500244140625, 171.44000244140625, 794.7766723632812, 191.7899932861328], [618.1500244140625, 214.99000549316406, 794.7766723632812, 242.74000549316406], [618.1500244140625, 265.94000244140625, 794.7766723632812, 286.2900085449219], [618.1500244140625, 309.489990234375, 794.7766723632812, 337.19000244140625], [618.1500244140625, 360.3900146484375, 794.7766723632812, 388.1400146484375]]",key_management_condition,涉及通用工序重点管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,5,SIMPLIFIED,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,9,"[46.56, 85.29, 794.78, 477.32]","[[618.1500244140625, 171.44000244140625, 794.7766723632812, 191.7899932861328], [618.1500244140625, 214.99000549316406, 794.7766723632812, 242.74000549316406], [618.1500244140625, 265.94000244140625, 794.7766723632812, 286.2900085449219], [618.1500244140625, 309.489990234375, 794.7766723632812, 337.19000244140625], [618.1500244140625, 360.3900146484375, 794.7766723632812, 388.1400146484375]]",simplified_management_condition,涉及通用工序简化管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,5,REGISTRATION,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,9,"[46.56, 85.29, 794.78, 477.32]","[[618.1500244140625, 171.44000244140625, 794.7766723632812, 191.7899932861328], [618.1500244140625, 214.99000549316406, 794.7766723632812, 242.74000549316406], [618.1500244140625, 265.94000244140625, 794.7766723632812, 286.2900085449219], [618.1500244140625, 309.489990234375, 794.7766723632812, 337.19000244140625], [618.1500244140625, 360.3900146484375, 794.7766723632812, 388.1400146484375]]",registration_management_condition,其他,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]",ELSE_CONDITION,MEDIUM,"[""else_condition_requires_peer_condition_exclusion""]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,6,KEY,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,11,"[46.56, 85.29, 794.78, 477.32]",[],key_management_condition,涉及通用工序重点管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,6,SIMPLIFIED,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,11,"[46.56, 85.29, 794.78, 477.32]",[],simplified_management_condition,涉及通用工序简化管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,6,REGISTRATION,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,11,"[46.56, 85.29, 794.78, 477.32]",[],registration_management_condition,其他,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]",ELSE_CONDITION,MEDIUM,"[""else_condition_requires_peer_condition_exclusion""]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,7,KEY,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,13,"[46.56, 85.29, 794.78, 477.32]",[],key_management_condition,涉及通用工序重点管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,7,SIMPLIFIED,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,13,"[46.56, 85.29, 794.78, 477.32]",[],simplified_management_condition,涉及通用工序简化管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,7,REGISTRATION,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,13,"[46.56, 85.29, 794.78, 477.32]",[],registration_management_condition,其他,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]",ELSE_CONDITION,MEDIUM,"[""else_condition_requires_peer_condition_exclusion""]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,8,KEY,七、其他采矿业12,其他采矿业120,120,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,15,"[46.56, 85.29, 794.78, 477.32]",[],key_management_condition,涉及通用工序重点管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,8,SIMPLIFIED,七、其他采矿业12,其他采矿业120,120,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,15,"[46.56, 85.29, 794.78, 477.32]",[],simplified_management_condition,涉及通用工序简化管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,8,REGISTRATION,七、其他采矿业12,其他采矿业120,120,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,15,"[46.56, 85.29, 794.78, 477.32]",[],registration_management_condition,其他,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]",ELSE_CONDITION,MEDIUM,"[""else_condition_requires_peer_condition_exclusion""]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,9,KEY,八、农副食品加工业13,谷物磨制131,131,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,5,2,"[46.56, 85.29, 794.78, 484.27]","[[80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 129.33999633789062, 264.20001220703125, 152.5399932861328], [80.0, 152.5399932861328, 264.20001220703125, 175.74000549316406], [80.0, 175.74000549316406, 264.20001220703125, 198.94000244140625], [80.0, 198.94000244140625, 264.20001220703125, 231.2899932861328]]",key_management_condition,/,[],NOT_APPLICABLE_IN_CATALOG,HIGH,"[""catalog_cell_slash_not_applicable""]","[""该管理条件单元格为/，请确认名录原文是否确为不适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,9,SIMPLIFIED,八、农副食品加工业13,谷物磨制131,131,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,5,2,"[46.56, 85.29, 794.78, 484.27]","[[80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 129.33999633789062, 264.20001220703125, 152.5399932861328], [80.0, 152.5399932861328, 264.20001220703125, 175.74000549316406], [80.0, 175.74000549316406, 264.20001220703125, 198.94000244140625], [80.0, 198.94000244140625, 264.20001220703125, 231.2899932861328]]",simplified_management_condition,/,[],NOT_APPLICABLE_IN_CATALOG,HIGH,"[""catalog_cell_slash_not_applicable""]","[""该管理条件单元格为/，请确认名录原文是否确为不适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
