link_id,baseline_entry_id,source_id,source_doc_title,source_standard_no_canonical,domain,source_role,link_type,target_kind,target_id,target_label,mapping_method,mapping_confidence,evidence_text,content_usability_flag,content_gate_status,human_review_label,gate_status,runtime_status,final_state,runtime_integration,candidate_only,radiation_all_industry_default_blocked,source_hash
PSL-V8_6-00011,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCORE13,S06,环保治理设施运行情况,ROLE_RULE,MEDIUM,source_role=TREATMENT_TECHNICAL_SPEC_SOURCE -> S06,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCORE_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
PSL-V8_6-00012,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_APPLIES_TO_INDUSTRY,INDUSTRY,5412,城市轨道交通,TITLE_INDUSTRY_MATCH,LOW,title=城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018; matched industry=5412 城市轨道交通,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_INDUSTRY_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
PSL-V8_6-00013,PDB-V8_5-0003,PDS-V8_0-0003,工业企业厂界环境噪声排放标准(GB 12348-2008),GB 12348-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_IN_DOMAIN,DOMAIN,noise,noise,DOMAIN_CLASSIFICATION,HIGH,V8.5 domain=noise,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,N/A,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,098e87129239595e950da7e4e2dedf1bc5601d7b2f4e277b4ecd7a68b3d620b7
PSL-V8_6-00014,PDB-V8_5-0003,PDS-V8_0-0003,工业企业厂界环境噪声排放标准(GB 12348-2008),GB 12348-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_SETS_EMISSION_LIMIT,SCENARIO,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=EMISSION_STANDARD_SOURCE; title=工业企业厂界环境噪声排放标准(GB 12348-2008),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,098e87129239595e950da7e4e2dedf1bc5601d7b2f4e277b4ecd7a68b3d620b7
PSL-V8_6-00015,PDB-V8_5-0003,PDS-V8_0-0003,工业企业厂界环境噪声排放标准(GB 12348-2008),GB 12348-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_SETS_EMISSION_LIMIT,SCENARIO,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=EMISSION_STANDARD_SOURCE; title=工业企业厂界环境噪声排放标准(GB 12348-2008),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,098e87129239595e950da7e4e2dedf1bc5601d7b2f4e277b4ecd7a68b3d620b7
PSL-V8_6-00016,PDB-V8_5-0003,PDS-V8_0-0003,工业企业厂界环境噪声排放标准(GB 12348-2008),GB 12348-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_SETS_EMISSION_LIMIT,SCENARIO,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=EMISSION_STANDARD_SOURCE; title=工业企业厂界环境噪声排放标准(GB 12348-2008),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,098e87129239595e950da7e4e2dedf1bc5601d7b2f4e277b4ecd7a68b3d620b7
PSL-V8_6-00017,PDB-V8_5-0003,PDS-V8_0-0003,工业企业厂界环境噪声排放标准(GB 12348-2008),GB 12348-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_SETS_EMISSION_LIMIT,SCENARIO,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=EMISSION_STANDARD_SOURCE; title=工业企业厂界环境噪声排放标准(GB 12348-2008),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,098e87129239595e950da7e4e2dedf1bc5601d7b2f4e277b4ecd7a68b3d620b7
PSL-V8_6-00018,PDB-V8_5-0003,PDS-V8_0-0003,工业企业厂界环境噪声排放标准(GB 12348-2008),GB 12348-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_SETS_EMISSION_LIMIT,SCORE13,S10,废水、废气、噪声、废渣排放及处置情况,ROLE_RULE,MEDIUM,source_role=EMISSION_STANDARD_SOURCE -> S10,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCORE_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,098e87129239595e950da7e4e2dedf1bc5601d7b2f4e277b4ecd7a68b3d620b7
PSL-V8_6-00019,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_IN_DOMAIN,DOMAIN,noise,noise,DOMAIN_CLASSIFICATION,HIGH,V8.5 domain=noise,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,N/A,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00020,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_SUPPORTS_PERMIT_LEDGER,SCENARIO,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE; title=排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00021,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_SUPPORTS_PERMIT_LEDGER,SCENARIO,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE; title=排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00022,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_SUPPORTS_PERMIT_LEDGER,SCENARIO,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE; title=排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00023,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_SUPPORTS_PERMIT_LEDGER,SCENARIO,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE; title=排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00024,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_SUPPORTS_PERMIT_LEDGER,SCORE13,S01,环保手续完善情况,ROLE_RULE,MEDIUM,source_role=PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE -> S01,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCORE_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00025,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_SUPPORTS_PERMIT_LEDGER,SCORE13,S02,环保台账规范情况,ROLE_RULE,MEDIUM,source_role=PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE -> S02,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCORE_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00026,PDB-V8_5-0004,PDS-V8_0-0004,排污许可证申请与核发技术规范工业噪声(HJ 1301-2023),HJ 1301-2023,noise,PERMIT_APPLICATION_AND_LEDGER_EVIDENCE_SOURCE,STANDARD_APPLIES_TO_INDUSTRY,INDUSTRY,7727,噪声与振动控制服务,TITLE_INDUSTRY_MATCH,LOW,title=排污许可证申请与核发技术规范工业噪声(HJ 1301-2023); matched industry=7727 噪声与振动控制服务,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_INDUSTRY_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,6f4c6ef93d6b68af5c8a65cd43c709747dbb5b0cd2fa9545fb684ef24828c06c
PSL-V8_6-00027,PDB-V8_5-0005,PDS-V8_0-0005,环境噪声与振动控制工程技术导则 HJ 2034—2013,HJ 2034-2013,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_IN_DOMAIN,DOMAIN,noise,noise,DOMAIN_CLASSIFICATION,HIGH,V8.5 domain=noise,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,N/A,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,af20b3b1285dd9529a1b596746df331e592fea66f4bb9a8d45212ee1d4107e59
PSL-V8_6-00028,PDB-V8_5-0005,PDS-V8_0-0005,环境噪声与振动控制工程技术导则 HJ 2034—2013,HJ 2034-2013,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=环境噪声与振动控制工程技术导则 HJ 2034—2013,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,af20b3b1285dd9529a1b596746df331e592fea66f4bb9a8d45212ee1d4107e59
PSL-V8_6-00029,PDB-V8_5-0005,PDS-V8_0-0005,环境噪声与振动控制工程技术导则 HJ 2034—2013,HJ 2034-2013,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=环境噪声与振动控制工程技术导则 HJ 2034—2013,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,af20b3b1285dd9529a1b596746df331e592fea66f4bb9a8d45212ee1d4107e59
PSL-V8_6-00030,PDB-V8_5-0005,PDS-V8_0-0005,环境噪声与振动控制工程技术导则 HJ 2034—2013,HJ 2034-2013,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=环境噪声与振动控制工程技术导则 HJ 2034—2013,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,af20b3b1285dd9529a1b596746df331e592fea66f4bb9a8d45212ee1d4107e59
PSL-V8_6-00031,PDB-V8_5-0005,PDS-V8_0-0005,环境噪声与振动控制工程技术导则 HJ 2034—2013,HJ 2034-2013,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=环境噪声与振动控制工程技术导则 HJ 2034—2013,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,af20b3b1285dd9529a1b596746df331e592fea66f4bb9a8d45212ee1d4107e59
PSL-V8_6-00032,PDB-V8_5-0005,PDS-V8_0-0005,环境噪声与振动控制工程技术导则 HJ 2034—2013,HJ 2034-2013,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCORE13,S06,环保治理设施运行情况,ROLE_RULE,MEDIUM,source_role=TREATMENT_TECHNICAL_SPEC_SOURCE -> S06,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCORE_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,af20b3b1285dd9529a1b596746df331e592fea66f4bb9a8d45212ee1d4107e59
PSL-V8_6-00033,PDB-V8_5-0006,PDS-V8_0-0006,社会生活环境噪声排放标准(GB 22337-2008),GB 22337-2008,noise,EMISSION_STANDARD_SOURCE,STANDARD_IN_DOMAIN,DOMAIN,noise,noise,DOMAIN_CLASSIFICATION,HIGH,V8.5 domain=noise,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,N/A,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,333423e388ca3801c07afe65ee6ba4e4d0cefef3cb68b6d88d644a0e876ea076
