catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,candidate_code,candidate_code_level,matched_industry_name,raw_fragment,raw_condition,review_status,review_question,source_basis,confidence,runtime_status,source_page
33,十五、木材加工和木、竹、藤、棕、草制品业20,人造板制造202,202,SIMPLIFIED,2023,class,刨花板制造,22、刨花板制造2023、其他人造板制造,除重点管理以外的胶合板制造2021 （年产10 万立方米及以上的）、纤 维板制造2022、刨花板制造2023、 其他人造板制造2029（年产10 万立 方米及以上的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,KEY,2221,class,机制纸及纸板制造,机制纸及纸板制造2221、手工纸制造22,机制纸及纸板制造2221、手工纸制造 2222,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,KEY,2222,class,手工纸制造,21、手工纸制造2222,机制纸及纸板制造2221、手工纸制造 2222,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,SIMPLIFIED,2223,class,加工纸制造,排放的加工纸制造2223,有工业废水和废气排放的加工纸制 造2223,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,REGISTRATION,2223,class,加工纸制造,理外的加工纸制造2223﹡,除简化管理外的加工纸制造2223﹡,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
42,二十、石油、煤炭及其他燃料加工业25,精炼石油产品制造251,251,KEY,2511,class,原油加工及石油制品制造,工及石油制品制造2511，其他原油制造2,原油加工及石油制品制造2511，其他 原油制造2519，以上均不含单纯混合 或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
42,二十、石油、煤炭及其他燃料加工业25,精炼石油产品制造251,251,KEY,2519,class,其他原油制造,1，其他原油制造2519，以上均不含单纯,原油加工及石油制品制造2511，其他 原油制造2519，以上均不含单纯混合 或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,KEY,2521,class,炼焦,炼焦2521，煤制合成气生产,炼焦2521，煤制合成气生产2522， 煤制液体燃料生产2523,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,KEY,2522,class,煤制合成气生产,，煤制合成气生产2522，煤制液体燃料生,炼焦2521，煤制合成气生产2522， 煤制液体燃料生产2523,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,KEY,2523,class,煤制液体燃料生产,煤制液体燃料生产2523,炼焦2521，煤制合成气生产2522， 煤制液体燃料生产2523,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,REGISTRATION,2524,class,煤制品制造,煤制品制造2524，其他煤炭加工2,煤制品制造2524，其他煤炭加工2529,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,REGISTRATION,2529,class,其他煤炭加工,4，其他煤炭加工2529,煤制品制造2524，其他煤炭加工2529,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2611,class,无机酸制造,无机酸制造2611，无机碱制造26,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2612,class,无机碱制造,11，无机碱制造2612，无机盐制造26,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2613,class,无机盐制造,12，无机盐制造2613，有机化学原料制,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2614,class,有机化学原料制造,有机化学原料制造2614，其他基础化学原,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2619,class,其他基础化学原料制造,基础化学原料制造2619（非金属无机氧化,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2611,class,无机酸制造,分装的无机酸制造2611、无机碱制造26,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2612,class,无机碱制造,11、无机碱制造2612、无机盐制造26,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2613,class,无机盐制造,12、无机盐制造2613、有机化学原料制,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2614,class,有机化学原料制造,有机化学原料制造2614、其他基础化学原,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2619,class,其他基础化学原料制造,基础化学原料制造2619（非金属无机氧化,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,REGISTRATION,2619,class,其他基础化学原料制造,基础化学原料制造2619（除重点管理、简,其他基础化学原料制造2619（除重点管 理、简化管理以外的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
46,二十一、化学原料和化学制品制造业26,肥料制造262,262,KEY,2621,class,氮肥制造,氮肥制造2621，磷肥制造262,氮肥制造2621，磷肥制造2622，复 混肥料制造2624，以上均不含单纯混 合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,10
46,二十一、化学原料和化学制品制造业26,肥料制造262,262,KEY,2622,class,磷肥制造,621，磷肥制造2622，复混肥料制造2,氮肥制造2621，磷肥制造2622，复 混肥料制造2624，以上均不含单纯混 合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,10
46,二十一、化学原料和化学制品制造业26,肥料制造262,262,KEY,2624,class,复混肥料制造,2，复混肥料制造2624，以上均不含单纯,氮肥制造2621，磷肥制造2622，复 混肥料制造2624，以上均不含单纯混 合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,10
46,二十一、化学原料和化学制品制造业26,肥料制造262,262,SIMPLIFIED,2623,class,钾肥制造,钾肥制造2623，有机肥料及微生,钾肥制造2623，有机肥料及微生物肥 料制造2625，其他肥料制造2629， 以上均不含单纯混合或者分装的；氮 肥制造2621（单纯混合或者分装的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,10
46,二十一、化学原料和化学制品制造业26,肥料制造262,262,SIMPLIFIED,2625,class,有机肥料及微生物肥料制造,及微生物肥料制造2625，其他肥料制造2,钾肥制造2623，有机肥料及微生物肥 料制造2625，其他肥料制造2629， 以上均不含单纯混合或者分装的；氮 肥制造2621（单纯混合或者分装的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,10
