scenario_id,scenario_name,inspection_type,candidate_section,candidate_subsection,risk_or_hidden_danger_point,evidence_chain,photo_points,applicable_when,not_applicable_when,confirmation_questions,answer_policy,default_severity,default_deduct,runtime_status
SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,FIRST,KNOWLEDGE_RISK_UNIT,液态化学品储罐、LDAR与防渗风险,储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,罐区全景和物料标识；围堰、防渗地面和雨水切换阀；泵阀法兰密封点；装卸区截流/收集设施；LDAR记录或检测设备读数,涂料制造重点管理、有大型油墨/溶剂储存、液态化学品罐区、挥发性有机液体装卸,无液态化学品储存；仅小包装桶且无固定管线/阀门组件时LDAR不宜默认YES,是否有固定储罐或液态化学品罐区？；储存物料是否为挥发性有机液体？；是否开展LDAR？；围堰/防渗/事故收集是否完善？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,MONTHLY,KNOWLEDGE_RISK_UNIT,液态化学品储罐、LDAR与防渗风险,储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,罐区全景和物料标识；围堰、防渗地面和雨水切换阀；泵阀法兰密封点；装卸区截流/收集设施；LDAR记录或检测设备读数,涂料制造重点管理、有大型油墨/溶剂储存、液态化学品罐区、挥发性有机液体装卸,无液态化学品储存；仅小包装桶且无固定管线/阀门组件时LDAR不宜默认YES,是否有固定储罐或液态化学品罐区？；储存物料是否为挥发性有机液体？；是否开展LDAR？；围堰/防渗/事故收集是否完善？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,FIRST,KNOWLEDGE_EXHAUST_SOIL_GROUNDWATER,加油站油气回收、地下储罐与土壤地下水风险,油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,卸油口和油气回收接口；加油枪和油气回收管路；地下储罐人孔井/检测井；防渗或泄漏监测装置；油气回收检测报告关键页,行业代码5265；经营汽油/柴油；存在地下储罐或油气回收系统,非成品油零售；仅充电站/便利店；无地下储罐或不经营汽柴油,是否经营汽油/柴油？；油气回收系统是否正常运行？；地下储罐是否双层罐或有防渗检测？；是否有洗车业务？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,MONTHLY,KNOWLEDGE_EXHAUST_SOIL_GROUNDWATER,加油站油气回收、地下储罐与土壤地下水风险,油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,卸油口和油气回收接口；加油枪和油气回收管路；地下储罐人孔井/检测井；防渗或泄漏监测装置；油气回收检测报告关键页,行业代码5265；经营汽油/柴油；存在地下储罐或油气回收系统,非成品油零售；仅充电站/便利店；无地下储罐或不经营汽柴油,是否经营汽油/柴油？；油气回收系统是否正常运行？；地下储罐是否双层罐或有防渗检测？；是否有洗车业务？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,FIRST,KNOWLEDGE_EXHAUST_PARTICULATE,粉尘颗粒物产生与除尘设施,粉尘无组织排放；除尘设施失效；料场/装卸扬尘,工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,破碎/粉磨/筛分点位；输送转运和落料点；袋式除尘器全景和铭牌；堆场围挡/喷淋/苫盖；在线监测设备或颗粒物排口,水泥制造、水泥粉磨、石灰石膏制造等粉尘颗粒物场景；熟料、粉磨、破碎、筛分、散装粉料装卸,无粉碎、粉磨、破碎、筛分、散装粉料装卸；纯湿法且无颗粒物排放工序,是否有熟料生产/粉磨/破碎/筛分？；是否仅粉磨？；除尘设施类型是什么？；是否安装在线监测？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,MONTHLY,KNOWLEDGE_EXHAUST_PARTICULATE,粉尘颗粒物产生与除尘设施,粉尘无组织排放；除尘设施失效；料场/装卸扬尘,工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,破碎/粉磨/筛分点位；输送转运和落料点；袋式除尘器全景和铭牌；堆场围挡/喷淋/苫盖；在线监测设备或颗粒物排口,水泥制造、水泥粉磨、石灰石膏制造等粉尘颗粒物场景；熟料、粉磨、破碎、筛分、散装粉料装卸,无粉碎、粉磨、破碎、筛分、散装粉料装卸；纯湿法且无颗粒物排放工序,是否有熟料生产/粉磨/破碎/筛分？；是否仅粉磨？；除尘设施类型是什么？；是否安装在线监测？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,FIRST,KNOWLEDGE_COMPLIANCE_MONITORING,重点管理/重点排污单位在线监测,在线监测未联网；运维记录缺失；数据异常未闭环,重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,在线站房外观；分析仪和采样管线；数采仪联网状态；视频监控设备；运维/校准/比对记录关键页,重点管理、重点排污单位、地方要求安装在线监测；重点废水或废气主要排口,登记管理、小规模且未纳入重点排污单位名录；无主要排口或无地方安装要求,是否为重点排污单位？；哪些排口安装在线监测？；是否联网生态环境部门？；在线设备是否运维有效？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,MONTHLY,KNOWLEDGE_COMPLIANCE_MONITORING,重点管理/重点排污单位在线监测,在线监测未联网；运维记录缺失；数据异常未闭环,重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,在线站房外观；分析仪和采样管线；数采仪联网状态；视频监控设备；运维/校准/比对记录关键页,重点管理、重点排污单位、地方要求安装在线监测；重点废水或废气主要排口,登记管理、小规模且未纳入重点排污单位名录；无主要排口或无地方安装要求,是否为重点排污单位？；哪些排口安装在线监测？；是否联网生态环境部门？；在线设备是否运维有效？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,FIRST,KNOWLEDGE_ENVIRONMENTAL_RISK,雨污分流、事故水与环境应急,雨污混接；事故水收集不足；应急物资/演练缺失,厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,雨水口和污水口标识；雨污切换阀/事故阀阀位；事故池或应急收集设施；应急物资柜内外观；应急预案/演练/事故记录关键页,有化学品、危废、污水站、储罐、地下罐、装卸区或事故水收集要求；大多数行业该项应保留UNKNOWN由现场确认,无涉水/涉危/涉油/涉化风险单元；厂区雨污分流清晰且无事故水收集要求,厂区是否雨污分流？；风险单元是否有围堰和防渗？；是否有事故水收集设施？；应急物资是否按风险配置？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,MONTHLY,KNOWLEDGE_ENVIRONMENTAL_RISK,雨污分流、事故水与环境应急,雨污混接；事故水收集不足；应急物资/演练缺失,厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,雨水口和污水口标识；雨污切换阀/事故阀阀位；事故池或应急收集设施；应急物资柜内外观；应急预案/演练/事故记录关键页,有化学品、危废、污水站、储罐、地下罐、装卸区或事故水收集要求；大多数行业该项应保留UNKNOWN由现场确认,无涉水/涉危/涉油/涉化风险单元；厂区雨污分流清晰且无事故水收集要求,厂区是否雨污分流？；风险单元是否有围堰和防渗？；是否有事故水收集设施？；应急物资是否按风险配置？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_TRAINING_SIGNAGE_REVIEW_GAP,环保培训、标识公示与历史问题闭环补强,FIRST,KNOWLEDGE_GOVERNANCE,环保培训、标识公示与历史问题闭环补强,培训缺失；标识公示不足；整改闭环证据不足,培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,培训签到和现场照片；危废/排口/辐射/应急制度标牌；整改前后对比照片；复发防控措施现场照片,现有24标签没有承载S08/S09/S11的完整语义；作为知识图谱二级维度补强而非默认行业产污场景,不得作为行业默认污染场景判断企业适用性；仅在排查模板或报告维度增强时启用,是否开展环保培训并留存签到/照片/试卷？；关键环保标识、标牌、制度是否上墙？；历史问题是否闭环并有防复发措施？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_TRAINING_SIGNAGE_REVIEW_GAP,环保培训、标识公示与历史问题闭环补强,MONTHLY,KNOWLEDGE_GOVERNANCE,环保培训、标识公示与历史问题闭环补强,培训缺失；标识公示不足；整改闭环证据不足,培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,培训签到和现场照片；危废/排口/辐射/应急制度标牌；整改前后对比照片；复发防控措施现场照片,现有24标签没有承载S08/S09/S11的完整语义；作为知识图谱二级维度补强而非默认行业产污场景,不得作为行业默认污染场景判断企业适用性；仅在排查模板或报告维度增强时启用,是否开展环保培训并留存签到/照片/试卷？；关键环保标识、标牌、制度是否上墙？；历史问题是否闭环并有防复发措施？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
