catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,raw_condition,applies_status,predicate_count,normalized_predicates_json,confirmation_questions_json,audit_flags,normalization_confidence,runtime_status,source_page
4,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
4,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
5,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
5,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
5,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
6,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
6,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
6,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
7,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
7,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
7,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
8,七、其他采矿业12,其他采矿业120,120,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
8,七、其他采矿业12,其他采矿业120,120,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
8,七、其他采矿业12,其他采矿业120,120,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
9,八、农副食品加工业13,谷物磨制131,131,KEY,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,5
9,八、农副食品加工业13,谷物磨制131,131,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,5
9,八、农副食品加工业13,谷物磨制131,131,REGISTRATION,谷物磨制131﹡,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""131"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""谷物磨制131﹡""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？""]",asterisk_footnote_requires_industrial_building_condition;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,5
10,八、农副食品加工业13,饲料加工132,132,KEY,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,5
10,八、农副食品加工业13,饲料加工132,132,SIMPLIFIED,饲料加工132（有发酵工艺的）﹡,APPLIES_IF_CONDITION_MET,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""fermentation_process"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""有发酵工艺"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""132"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""饲料加工132（有发酵工艺的）""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？"", ""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",asterisk_footnote_requires_industrial_building_condition;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,5
10,八、农副食品加工业13,饲料加工132,132,REGISTRATION,饲料加工132（无发酵工艺的）﹡,APPLIES_IF_CONDITION_MET,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""no_fermentation_process"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""无发酵工艺"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""132"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""饲料加工132（无发酵工艺的）""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？"", ""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",asterisk_footnote_requires_industrial_building_condition;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,5
11,八、农副食品加工业13,植物油加工133,133,KEY,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,5
11,八、农副食品加工业13,植物油加工133,133,SIMPLIFIED,除单纯混合或者分装以外的﹡,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""simple_mixing_or_packaging"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""单纯混合或者分装"", ""confidence"": ""MEDIUM""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？""]",asterisk_footnote_requires_industrial_building_condition,HIGH,DRAFT_NOT_FOR_RUNTIME,5
11,八、农副食品加工业13,植物油加工133,133,REGISTRATION,单纯混合或者分装的﹡,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""simple_mixing_or_packaging"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""单纯混合或者分装"", ""confidence"": ""MEDIUM""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？""]",asterisk_footnote_requires_industrial_building_condition,HIGH,DRAFT_NOT_FOR_RUNTIME,5
12,八、农副食品加工业13,制糖业134,134,KEY,日加工糖料能力1000 吨及以上的原 糖、成品糖或者精制糖生产,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""threshold"", ""metric"": ""daily_sugar_processing_capacity"", ""operator"": ""gte"", ""value"": 1000, ""unit"": ""ton_per_day"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""日加工糖料能力1000吨及以上"", ""metric_source_keyword"": ""日加工糖料能力"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""1000"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""日加工糖料能力1000吨及以上的原糖、""}]","[""请确认 daily_sugar_processing_capacity 对应的实际规模/用量/产能，并提供证据。""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,5
12,八、农副食品加工业13,制糖业134,134,SIMPLIFIED,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
12,八、农副食品加工业13,制糖业134,134,REGISTRATION,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,APPLIES_IF_CONDITION_MET,8,"[{""predicate_type"": ""threshold"", ""metric"": ""annual_slaughter_pig"", ""operator"": ""gte"", ""value"": 100000, ""unit"": ""head_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""年屠宰生猪10万头及以上"", ""metric_source_keyword"": ""年屠宰生猪"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_slaughter_cattle"", ""operator"": ""gte"", ""value"": 10000, ""unit"": ""head_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""年屠宰肉牛1万头及以上"", ""metric_source_keyword"": ""年屠宰肉牛"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_slaughter_sheep"", ""operator"": ""gte"", ""value"": 150000, ""unit"": ""head_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""年屠宰肉羊15万头及以上"", ""metric_source_keyword"": ""年屠宰肉羊"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_slaughter_poultry"", ""operator"": ""gte"", ""value"": 10000000, ""unit"": ""head_per_year"", ""inclusive"": true, ""target_management"": ""KEY"", ""raw_fragment"": ""年屠宰禽类1000万只及以上"", ""metric_source_keyword"": ""年屠宰禽类"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""10"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""年屠宰生猪10万头及以上的，年""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""1"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""上的，年屠宰肉牛1万头及以上的，年""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""15"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""上的，年屠宰肉羊15万头及以上的，年""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""1000"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""KEY"", ""confidence"": ""HIGH"", ""raw_fragment"": ""上的，年屠宰禽类1000万只及以上的""}]","[""请确认 annual_slaughter_pig 对应的实际规模/用量/产能，并提供证据。"", ""请确认 annual_slaughter_cattle 对应的实际规模/用量/产能，并提供证据。"", ""请确认 annual_slaughter_sheep 对应的实际规模/用量/产能，并提供证据。"", ""请确认 annual_slaughter_poultry 对应的实际规模/用量/产能，并提供证据。""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,5
