scenario_id,scenario_name,primary_score_item_id,secondary_score_item_ids,mapping_reason,possible_report_sections,human_confirm_required,current_13_dimension_gap,suggested_improvement,runtime_status
SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,S10,S04;S02;S06,噪声排放和厂界达标归S10，现场噪声源和敏感点影响归S04，监测/整改台账归S02，隔声减振设施可辅S06。,S10;S04;S02;S06,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S10需要在知识层拆出 noise_boundary/noise_source/noise_monitoring。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,S10,S02;S01,厂界噪声监测与执行标准归S10，监测方案、报告和整改台账归S02，许可或环评要求可辅S01。,S10;S02;S01,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S10需细分 noise_monitoring、boundary_point、day_night_limit。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,S10,S04;S11;S13,夜间噪声和敏感点影响归S10/S04，投诉整改闭环归S11，群体投诉或突发扰民可辅S13。,S10;S04;S11;S13,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,现有13维缺少敏感点/投诉/夜间噪声二级语义。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,S10,S04;S11,社会生活噪声排放归S10，周边敏感点和现场扰民风险归S04，投诉整改闭环可辅S11。,S10;S04;S11,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S10需区分工业噪声与社会生活噪声，避免同一证据链混用。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_RADIATION_DEVICE_SOURCE_SAFETY,射线装置与核技术利用辐射安全,S12,S01;S02;S09;S13,射线装置、核技术利用和辐射安全许可归S12，许可手续归S01，台账/剂量/检测归S02，警示标识归S09，应急归S13。,S12;S01;S02;S09;S13,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S12需要二级语义 radiation_device/source/security_training/dose_monitoring。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_RADIOACTIVE_SOURCE_SECURITY,放射源安全保卫、台账与退役去向,S12,S02;S09;S13,放射源安全保卫和账物一致归S12，盘点和领用记录归S02，警示标识归S09，丢失/事故应急归S13。,S12;S02;S09;S13,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S12需要区分密封源、废旧源、源库安防和退役送贮。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL,放射性废物贮存、转移与处置,S12,S07;S02;S13,放射性废物本体按辐射安全归S12，同时具有固废贮存/转移属性辅S07，台账归S02，应急归S13。,S12;S07;S02;S13,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S07不能替代放射性废物知识层，需保留 radioactive_waste 二级标签。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_RAD_WASTE_PACKAGE_SOLIDIFICATION_CONTAINER,放射性废物包、固化体与高完整性容器,S12,S07;S02,废物包、固化体和容器安全归S12，包装贮存属性辅S07，检测/交接记录归S02。,S12;S07;S02,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,必须在知识层明确区分 radioactive_waste_package 与 general_solid_waste_package：前者依赖核素/活度、固化体性能、容器合格和辐射监测，不能被普通危废包装或一般固废打包语义替代。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_RAD_WASTE_DISPOSAL_FACILITY,放射性废物处置设施与场址管理,S12,S13;S02;S04,处置设施安全归S12，事故/渗漏/封场应急归S13，运行和监测台账归S02，场址边界和周边环境辅S04。,S12;S13;S02;S04,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,必须在知识层明确区分 radioactive_waste_disposal 与 general_solid_waste_landfill：前者牵涉放射性处置许可、场址长期监测、废物接收准则和封场安全，不能映射成普通填埋场。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_RADIOACTIVE_MATERIAL_TRANSPORT,放射性物品运输与运输容器安全,S12,S02;S13;S09,放射性物品运输和运输容器安全归S12，运输记录归S02，应急方案归S13，运输标识归S09。,S12;S02;S13;S09,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S12需补 transport_package/transport_license/transport_emergency。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_NORM_RADIOACTIVITY_IN_INDUSTRIAL_RESIDUE,含天然放射性工业废渣与建材放射性控制,S12,S07;S10;S04;S02,含天然放射性物料和工业废渣放射性控制归S12，废渣贮存归S07，释放/外排风险辅S10，场址和堆场辅S04，检测台账归S02。,S12;S07;S10;S04;S02,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,需把NORM/工业废渣放射性作为辐射与固废交叉二级语义。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_URANIUM_THORIUM_MINING_RAD_WASTE,铀钍矿冶放射性废物与尾矿风险,S12,S10;S04;S13;S02,铀钍矿冶放射性安全归S12，尾矿/渗滤液/流出物影响辅S10，场址环境辅S04，应急和台账辅S13/S02。,S12;S10;S04;S13;S02,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,需区分普通矿山尾矿与铀钍矿冶放射性废物：后者同时存在辐射环境监测、放射性废物管理、尾矿库环境风险和长期场址管控要求，不能仅按一般矿山固废或废水规则处理。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_NUCLEAR_FUEL_EFFLUENT_DECOMMISSIONING,核燃料循环流出物与核设施退役场址,S12,S10;S04;S02,核燃料循环和退役场址辐射安全归S12，流出物和土壤残留风险辅S10/S04，监测台账归S02。,S12;S10;S04;S02,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,S12需补 nuclear_fuel_cycle、effluent、decommissioning_site。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
SCN_BUILDING_MATERIAL_SLAG_RADIONUCLIDE,建材工业废渣放射性物质限制,S12,S07;S02,工业废渣放射性控制归S12，废渣原料管理辅S07，检测和批次台账归S02。,S12;S07;S02,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,建材行业不得默认触发，应由工业废渣原料和检测证据触发。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
NEW_SCN_LAB_WASTE_CANDIDATE,实验室废液与检测试剂危废候选场景,S07,S02;S09;S13,实验废液和废试剂瓶按危废贮存管理归S07，台账和转移去向归S02，标签标识归S09，泄漏和应急物资归S13。,S07;S02;S09;S13,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,知识层需区分 laboratory_waste_liquid 与普通危废暂存，避免仅凭危废间照片遗漏实验室产生环节。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
NEW_SCN_TAILINGS_CANDIDATE,尾矿库、尾矿输送与回水渗滤液候选场景,S13,S10;S04;S02,尾矿库溃坝、渗漏和事故水风险优先归S13，回水/渗滤液排放影响归S10，库区和下游敏感点归S04，巡检台账归S02。,S13;S10;S04;S02,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,知识层需把 tailings_storage 作为独立风险单元，不能用一般固废堆场或废水站模板完全替代。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
NEW_SCN_WASTE_DISPOSAL_CANDIDATE,垃圾焚烧、填埋与渗滤液飞灰候选场景,S10,S06;S07;S02;S13,垃圾焚烧烟气、渗滤液和排放监测归S10，治理设施运行归S06，飞灰和炉渣去向归S07，台账归S02，应急风险归S13。,S10;S06;S07;S02;S13,需由ESO/ETO结合环评、批复、许可、台账和现场事实确认是否适用。,知识层需区分 waste_disposal_facility 与普通生产固废暂存，因其同时牵涉废气、废水、固废、在线监测和应急。,保持S01-S13一级口径不变，在知识图谱层补noise/radiation二级语义。,CANDIDATE_ONLY
