sample_id,sample_set,sample_bucket,industry_code,industry_name,sample_polarity,factor_ids,factor_names,evidence_requirements,photo_points,confirmation_questions,source_basis,candidate_status,gate_status,confidence,blocked_actions,runtime_effect,runtime_status,final_state,runtime_integration,notes,version_manifest_id
ECC_IFS_011,HIGH_FREQUENCY_INDUSTRY,furniture_wood,2110,木质家具制造,POSITIVE,production_process_activity;vocs_emission;dust_particulate;hazardous_waste;exhaust_treatment_facility,木工;喷涂;木粉尘;危废;废气治理,喷涂材料台账;除尘设施记录;废漆渣台账,木工区;喷涂房;除尘器,是否有木工和喷涂;粉尘是否收集;废漆渣和活性炭是否纳管,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,家具木制品样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_012,HIGH_FREQUENCY_INDUSTRY,plastic_rubber,2929,塑料和橡胶制品,POSITIVE,production_process_activity;vocs_emission;exhaust_treatment_facility;hazardous_waste;wastewater_generation,注塑挤出;橡胶硫化;VOCs;危废;清洗废水,废活性炭台账;清洗废水记录;原辅料清单,注塑机;废气治理设施;危废点,是否存在注塑挤出硫化;是否有有机废气;是否产生清洗废水,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,塑料橡胶样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_013,HIGH_FREQUENCY_INDUSTRY,food_factory,1499,食品制造,POSITIVE,production_process_activity;wastewater_generation;wastewater_station;general_solid_waste;involves_hazchem_major_hazard;boiler_combustion,食品加工;清洗废水;污水站;污泥;氨制冷;锅炉,CIP清洗记录;污水站运行记录;液氨制冷巡检记录,清洗线;污水站;制冷机房,是否存在清洗蒸煮杀菌;是否有污水站;是否涉及液氨或锅炉,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,食品厂样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_014,HIGH_FREQUENCY_INDUSTRY,hazchem_warehouse,5990,危化品仓库,POSITIVE,involves_hazchem_major_hazard;ldar;liquid_chemical_tank_area;soil_groundwater_risk;rainwater_accident_risk;emergency_response_materials,危化仓储;LDAR;液态化学品;防渗;事故水;应急,危化品清单;围堰巡检记录;应急物资清单,危化仓;围堰;应急物资,是否接收危化品实物;围堰防渗是否完整;是否配置应急物资,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,纯仓储不应触发生产活动,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_015,HIGH_FREQUENCY_INDUSTRY,school_research,8341,学校和科研院所,POSITIVE,production_process_activity;hazardous_waste;wastewater_generation;exhaust_treatment_facility;involves_hazchem_major_hazard;radiation,科研实验;危废;实验废水;通风橱;试剂;辐射,实验废液台账;试剂清单;射线装置清单,实验室;通风橱;射线警示标识,是否存在实验室;是否涉及试剂废液;是否涉及放射或射线装置,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,学校科研样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_016,BATCH4_NEW_FACTOR_INDUSTRY,pharma_fine_chemical,2710,化学药品原料药制造,POSITIVE,production_process_activity;wastewater_generation;wastewater_station;vocs_emission;exhaust_treatment_facility;hazardous_waste;involves_hazchem_major_hazard;liquid_chemical_tank_area;ldar;soil_groundwater_risk;rainwater_accident_risk,制药合成;高盐废水;污水站;VOCs;RTO;废母液;危化;储罐;LDAR;防渗;事故池,废母液危废台账;RTO运行记录;事故池巡检记录,反应釜区;溶剂储罐围堰;污水处理站,是否存在反应釜和溶剂;是否产生废母液或高盐废水;事故池和储罐防渗是否确认,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,高复杂度化工画像样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_017,BATCH4_NEW_FACTOR_INDUSTRY,industrial_wwtp,4620,污水处理及其再生利用,POSITIVE,wastewater_station;online_monitoring;general_solid_waste;unorganized_exhaust;exhaust_treatment_facility;involves_hazchem_major_hazard;liquid_chemical_tank_area;environmental_facility_operation;permit_execution_reporting;noise_source,污水厂;在线监测;污泥;除臭;废气治理;药剂;加药间;设施运行;执行报告;泵噪声,在线监测数据;污泥外运联单;环保设施运行记录,总排口数采仪;污泥脱水机;除臭生物滤池,是否为环保设施运营单位;在线监测和执行报告是否齐全;除臭和污泥外运是否规范,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,环保设施运营单位样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_018,BATCH4_NEW_FACTOR_INDUSTRY,waste_transfer_catering_waste,7820,环境卫生管理和餐厨垃圾处理,POSITIVE,production_process_activity;general_solid_waste;wastewater_generation;unorganized_exhaust;exhaust_treatment_facility;rain_sewage_separation;wastewater_discharge_route;rainwater_accident_risk;noise_source,垃圾中转;餐厨垃圾;渗滤液;恶臭;除臭;雨污分流;排水去向;初期雨水;压缩机噪声,垃圾转运台账;渗滤液收集记录;除臭设施运行记录,压缩站;渗滤液收集沟;除臭设施,是否有渗滤液或压缩液;除臭设施是否运行;排水去向和雨污分流是否明确,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,固废处理设施类样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_019,BATCH4_NEW_FACTOR_INDUSTRY,cold_chain_ammonia,5990,冷库冷链仓储,POSITIVE,noise_source;involves_hazchem_major_hazard;wastewater_generation;hazardous_waste;emergency_response_materials;rainwater_accident_risk,制冷噪声;液氨;融霜废水;废冷冻机油;应急物资;事故水,液氨制冷巡检记录;氨泄漏报警检查记录;废冷冻机油危废台账,制冷机房;氨泄漏报警器;应急物资柜,是否涉及液氨制冷;融霜废水和废冷冻机油如何处置;应急物资是否配置,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,非生产但高危化风险样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_020,BATCH4_NEW_FACTOR_INDUSTRY,kiln_building_materials,3031,砖瓦陶瓷玻璃建材窑炉,POSITIVE,production_process_activity;boiler_combustion;dust_particulate;exhaust_treatment_facility;organized_exhaust_stack;general_solid_waste;noise_source;rainwater_accident_risk,窑炉;燃烧;粉尘;烟气治理;排气筒;窑渣;噪声;堆场雨水,烟气治理运行记录;窑渣去向台账;排气筒监测报告,窑炉;布袋除尘器;烟囱铭牌,是否存在烧成窑炉;烟气是否治理;窑渣和堆场雨水如何管理,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,炉窑型固定污染源样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_021,BATCH4_NEW_FACTOR_INDUSTRY,slaughter_meat,1351,屠宰和肉制品加工,POSITIVE,production_process_activity;wastewater_generation;wastewater_station;general_solid_waste;unorganized_exhaust;exhaust_treatment_facility;noise_source;boiler_combustion;involves_hazchem_major_hazard,屠宰;高浓度废水;污水站;动物副产物;恶臭;除臭;噪声;锅炉;氨制冷,屠宰废水处理记录;动物副产物去向台账;除臭设施运行记录,屠宰清洗线;污水处理站;除臭设施,是否有屠宰和分割清洗;是否有恶臭除臭;是否涉及氨制冷,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,食品加工特殊高风险分支,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_022,BATCH4_NEW_FACTOR_INDUSTRY,recycling_waste_plastic,4220,废塑料再生,POSITIVE,production_process_activity;wastewater_generation;wastewater_station;dust_particulate;vocs_emission;exhaust_treatment_facility;hazardous_waste;general_solid_waste;noise_source;rainwater_accident_risk,分拣破碎;清洗废水;污水站;粉尘;造粒VOCs;废气治理;危废;污泥;噪声;堆场雨水,废塑料清洗废水记录;废活性炭危废台账;清洗污泥处置台账,破碎清洗线;造粒挤出机;废塑料堆场,是否存在清洗造粒;清洗废水是否处理;堆场雨水和危废如何管理,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,再生资源处理样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_023,BATCH4_NEW_FACTOR_INDUSTRY,district_heating_boiler,4430,热力生产和供应,POSITIVE,boiler_combustion;organized_exhaust_stack;exhaust_treatment_facility;online_monitoring;wastewater_generation;hazardous_waste;general_solid_waste;noise_source;permit_execution_reporting,锅炉;烟囱;低氮燃烧;在线监测;排污水;废树脂;灰渣;噪声;执行报告,锅炉运行记录;在线监测数据;废树脂危废台账,锅炉铭牌;烟囱排气筒;软化水装置,是否为集中供热锅炉房;在线监测和执行报告是否齐全;废树脂灰渣如何处置,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,锅炉主体行业场景,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_024,BATCH4_NEW_FACTOR_INDUSTRY,electroplating_park,3360,电镀园区和集中表面处理中心,POSITIVE,production_process_activity;wastewater_generation;wastewater_station;involves_heavy_metal;hazardous_waste;liquid_chemical_tank_area;involves_hazchem_major_hazard;soil_groundwater_risk;rainwater_accident_risk;online_monitoring;waste_transfer_ledger,电镀;废水;园区污水站;重金属;槽渣危废;槽液;危化;防渗;事故池;在线监测;联单,重金属在线监测数据;槽渣危废台账;分质收集管线说明,电镀槽;重金属废水处理站;事故池,是否集中表面处理;是否分质收集和重金属在线;事故池和槽液防渗是否确认,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,园区集中治理样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_025,BATCH4_NEW_FACTOR_INDUSTRY,port_ship_repair,5532,货运港口和船舶修理,POSITIVE,production_process_activity;wastewater_generation;hazardous_waste;general_solid_waste;dust_particulate;vocs_emission;exhaust_treatment_facility;liquid_chemical_tank_area;soil_groundwater_risk;rainwater_accident_risk;noise_source;emergency_response_materials,船舶维修;含油污水;废油泥;船舶污染物;喷砂粉尘;喷涂VOCs;废气治理;油罐;防渗;码头雨水;噪声;围油栏,船舶污染物接收台账;废油泥危废台账;码头雨水巡检记录,船舶维修区;散货堆场;围油栏应急物资,是否存在船修喷砂喷涂;是否接收船舶含油废物;码头雨水和应急围油栏是否确认,EcoCheck batch4 new-factor sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,户外开放场景和移动污染边界样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_026,BATCH5_A,semiconductor_photovoltaic,3973,集成电路制造和光伏材料,POSITIVE,production_process_activity;wastewater_generation;vocs_emission;exhaust_treatment_facility;hazardous_waste;involves_hazchem_major_hazard;liquid_chemical_tank_area;soil_groundwater_risk;rainwater_accident_risk;dust_particulate;noise_source,半导体;含氟废水;洁净室排风;酸碱废气洗涤塔;废酸废碱;特气;药剂间;事故池;硅粉;空压站噪声,含氟废水处理记录;特气和危化品清单;酸碱废气洗涤塔运行记录,刻蚀清洗区;特气柜;事故池,是否存在晶圆刻蚀清洗;特气柜和酸碱废气是否治理;事故池和危化品柜是否确认,EcoCheck batch5 A sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,高危化高水处理洁净排风组合,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_027,BATCH5_A,casting_diecasting,3391,铸造和压铸,POSITIVE,production_process_activity;boiler_combustion;dust_particulate;exhaust_treatment_facility;general_solid_waste;hazardous_waste;noise_source;vocs_emission,铸造;熔炼炉;浇注烟尘;除尘;废砂炉渣;废切削液;噪声;脱模剂VOCs,除尘设施运行记录;废砂炉渣去向台账;废切削液危废台账,熔炼炉;抛丸除尘器;废砂暂存区,是否存在熔炼压铸;除尘设施是否运行;废砂炉渣和废切削液如何处置,EcoCheck batch5 A sampling,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,金属热加工区别于机加工样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
